#Hunting for outflows in the 12CO CARMA Orion Data. 
#In the following table, I will go through all HOPS protostars covered by the 
#CARMA-NRO Orion footprint.
#If there are signs of an outflow IN 12CO, I will find the optimal blue and red velocity
#ranges to display it, these are written in blue_vel and red_vel (in km/s). If
#these values have '0' or '-' that means that the automatic fit value is fine. 
#If the outflow is seen in Tanabe's NRO-only study, tanabe = the outflow number #corresponding to tanabe's study. ? means unclear
hops, outflow, blue_vel, red_vel, tanabe, notes
59, ?, 6.9, 13.6, 17, "Tanabe identifies a small blue emission structure ~5 arcmin to the NW of HOPS 59 as an outflow. This looks very dubious in our data, however Tanabe notes that two H2 peaks from Davis et al. 2009 point along the axis to this small blue outflow. Should follow this up. The id in Davis+09 catalog for this is SMZ25 / IRS25 / HH 44/535 / MMS 25 - The two Davis H2 knots are assigned to HOPS 59 / IRS 25 on the basis of their morphology and proper motion, but they state that this association is inconclusive. Probably good enough to include in outflow energetics, but not good enough for position angle."
60, 1, 7.0, 14.2, 16, "Small bipolar NE-SW outflow centered on the protostar. Source is also driving H2 jet (Davis). Some confusion of outflow emission with cloud."
# 65, 0, 7, 14, -, "" 
# 66, 0, 6, 16, -, "This protostar is within the blue/red emission lobes that are assigned to Tanabe outflows 13 and 15. HOPS66 is listed as driving an H2 jet in Davis09 while the driving source of Tanabe's outflow 13 does not have an H2 jet. This region needs further study. Helps to zoom in on the contours. There seem to be at least two outflow overlapping here with complex alignment."
68, 1, 7.8, 14.5, 12, "Small bipolar outflow, clear red/blue lobes centered on protostar. Also has H2 jet. Zoom in to see contours better. The red lobe extends to the highest velocities in the cube."
70, ?, 7.5, 14, 11, "Tanabe indicates the small red emission structure to the E is an outflow from HOPS 70. There is a lot of blue/red emission in this region which makes assigning outflows to sources difficult. This assignment is dubious, needs further study. After lots of staring, this red lobe is either driven by this source, HOPS70, or perhaps by disk-source with a chain of N-S curving H2 knots just to the North. The morphology of the CO favors HOPS70 as the driving source ever so slightly. Not enough to be confident in position angle.  There is also a tiny 5sigma contour of blueshifted CO on the other side of the source."
71, 1, 7.5, 14.5, 10, "Tanabe assigns this source a blueshifted structure to the NE, as with all the outlflows in this region, it's hard to disentable which source is driving what here. Needs a lot more work to be confident of this assignment. "
# 73, 0, 7, 15, -, "This source is near Tanabe's outflow 10, as described above."
74, 0, 7, 14, -, "There is a linear blueshifted feature to the NE, which is given by Tanabe to outflow 8 but may in fact be driven by this protostar. Need further study."
75, ?, 7.3, 14.3, 8, "Tanabe assigns redshifted lobe to the south and a more dubious blueshifted patch of emission to the north which may just be part of the large EW outflow 7 or could be driven by HOPS 74 (see above entry)"
76, 0, 7, 14.5, -,  "This protostar located just south of the protostar assigned to the large EW outflow 7 by Tanabe. This source could potentially drive part of the outflow emission attributed to HOPS 75 (outflow 8). "
77, 0, 7, 15, -, "Could be driving any of the nearby outflows identified by Tanabe, or there could be yet another outflow driven by this source. This source is at the intersection of the red lobe of the EW outflow 7 (assigned to HOPS 78) and the blue lobe of outflow 10 (assigned to HOPS 71)"
78, 1, 6, 15, 7, "Most likely source driving large EW oriented outflow, has H2 jet, so I should look at the orientation to see what it looks like." 
80, 0, 7., 14., -, "located just north of the EW outflow 7. There is a potential red outflow lobe to the SW of the source, superimposed on the blue contours of the large EW outflow. This redshifted emission is not assigned to any outflow by Tanabe, but looks well-collimated and high-velocity enough that it probably belong to SOME outflow. HOPS 81 could also potentially drive this outflow though it is farther away. This red-shifted emission appears
to be associated with the bow-shocks along the EW outflow 7 flow. Unless these bow shocks are from a different outflow, which seems unlikely, then the redshifted emission seen here must be another part of the outflow surface."
81, ?, 7.5, 13.5, -, "Not given an outflow by Tanabe, HOPS 81 is located close the linear blueshifted contours discussed in HOPS 74 and 75, or could plausibly drive the redshifted feature discussed in the HOPS 80 entry. This source drives an H2 jet. Also includes redshifted emission overlapping the blue contours to the W."
82, 0, 7., 14., -, "Could potentially be contributing to the blue lobe of the large EW outflow in this region (outflow 7 by Tanabe)." 
84, 1, 8.5, 13.8, 6, "Tanabe assigns this two far-flung patches of redshifted emission to the west along with a small blue emission feature just to the east. This is an H2 jet-driving source too, so maybe the H2 images will give us guidance. This outflow was also ID'ed in Takahashi08, Williams03, and Aso00. But it looks like Williams03 does not assign the same emission as Tanabe, I'm skeptical that this is def the correct ID."
85, 0, 7.7, 13.3, -, "This protostar is near HOPS84, could potentially contribute to that outflow (Outflow 6 in Tanabe19)"
86, 0, 8., 13.7, -, "Close to the source of Outflow 5 in Tanabe19 (HOPS87), could drive the blueshifted emission seen to the W and/or the redshifted emission to the E." 
87, ?, 8.6, 13.8, 5, "Tanabe (outflow 5), Takahashi03, MMS6, but takahashi lists this outflow as marginal, and describes it as pretty dubious, with no clear CO outflow detection, but some faint NIR. Tanabe assigns the more distant blueshifted emission to the W of this source. This emission structure has a striking behavior with velocity, a cohesive butterfly-shape structure appears first in 12CO at ~6 km/s. With increasing velocity, the structure maintains its shape but moves to the East, merging with cloud emission by ~ 9.3 km/s. This is definitely part of an outflow, but where the matching redshifted emission is, and what source is responsible for it, remains a mystery."
88, 1, -, -, 4, "Clear small bipolar outflow oriented EW, MMS5. Clear H2 jet along W/blueshifted axis."
# 89, 0, -, -, -, ""
90, 0, 9.5, 13.5, -, "There are several collimated blueshifted CO features near this source. The linear feature to the NW is attributed to Outflow 2, driven by the PMS star to the NW which is surrounded by a bow-shock as seen in H2 as well as VISTA NIR images. There is also a curvilnear blueshifted CO feature to the south of this protostar. There are a couple of extinction pillars seen in the VISTA image in this area, the narrow CO could be associated with these pillars, or could be an outflow. "
# 91, 0, -,-,-, "Close to HOPS 89"
92, 1, -, -, 3, "Linear red lobe and larger blue lobe farther away from source. Clearly this protostar is associated with H2 emission, not completely clear how to assign the CO emission in this area though. The blue lobe looks similar to the other blueshifted butterfly-shaped structure to the south, but an outflow can't have two blue lobes? How would the orientation work?"
# 93, 0, 8, 13.5, -, "Just north of the red lobe of Outflow 3 from Tanabe. This source is located in an arc-like structure of blueshifted CO. Probably not an outflow though."
# 94, -, 8, 13.5, -, "Close to HOPS93."
# 95, -, 9, 13.5, -, ""
96, 1, -, -, 1, "Outflow 1 from tanabe, very assymetric with much larger red than blue lobe. I'm skeptical of this outflow. It's also IDed in Takahashi08 though. Likely the source of much of the red lobe, will include the entire red lobe because I see no way to disentagle any possible red emission from the outflow to the south."
98, 0, 10.4, 14, -, "There is a small redshifted structure to the SW of this source. This red CO seems spatially coincident with H2 emission in Davis." 
99, ?, 8.3, 13, -, "This protostar is driving an obvious H2 jet orientated SE-NW, clearly seen in the VISTA Orion image as a thin curved red structure. Along the axis of the H2 outflow, there is small patch of blueshifted CO, most clearly seen at 7.8 km/s. This may be a CO outflow orientated mostly on the plane of the sky, with the moderate velocity blue lobe seen but no red lobe. the blueshifted emission seems to extend through the source along the H2 outflow, which is odd if this is the outflow-driving source. There is also redshifted emission to the NE of the source, on a perpendicular axis to the blueshifted CO mentioned above. Given the correlation with the NIR jet, I think the blue CO is the outflow."
# 100, 0, -, -, -, "No evidence for outflow in CO or NIR/H2 images."
# 102, 0, -, -, -, "This protostar is near the rim of the extinction feature in NIR which marks the foreground cloud, behind which seems to be the PDR illuminated by NGC1977. There are overlapping blue/red CO emission features here. The morphology does not look like an outflow, more like the compressed or photoablated edge of the cloud, but worth following up." 
108, 0, 6, 16, -, "This protostar is deeply embedded (not visible in NIR). There is a lot of high velocity emission in this area, with Tanabe defining outflows 13, 14, and 15. There is an extremely compact bipolar red/blue structure located just a few arcseconds to the north of this source. An even more plausible source of this outflow is Spitzer Orion 2293, a source classified as a protostar by Megeath et al. but not in the HOPS catalog. This star hosts a small jet visible in the NIR, identified as the source of SMZ 17 in Stanke02/Davis09. This is the larger scale H2 flow seen to the NE which has been assigned to Outflow 13 by Tanabe. Davis thinks this H2 flow is most likely to come from this star, also known as IRS 17. "
148, 0, 2.5, 9, -, "No evidence of an outflow from this source, except perhaps something in the blue emission at ~2.5km/s to the NW."  
149, 0, 2, 8, -, "HOPS 149 has an H2 flow (SMZ 66) associated with it, to the SE of the source. This is right on the edge of the CO observations, probably no CO outflow visible here. There is a bit of blue emission about 4 arcminutes to the NW, which may be a part of the structure discussed for HOPS 148, all of which is probably nothing."
# 154, 0, 2.5, 9, -, "No outflow detectable here."
# 156, 0, "[2,4]", 9, -,  "HOPS 156 is located on a filamemntary extinction feature in NIR image. CO emission at ~3.5-4 km/s lies along this filament, so it is unlikely to be part of an outflow."
157, ?, "[0,3.5]", "[9,13]", -, "HOPS 157 is associated with the H2 feature dubbed DFS 127 by Davis et al. (see Figure A.6b in Davis et al.) This feature is seen in the NIR Vista image as well, just to the SE of the protostar. There is a small blue-shifted structure in 12CO at ~3 km/s which may be the blue lobe of an outflow. It's in the same direction as the NIR jet. No matching red lobe is identified."
158, ?, 5, 9.5, -,  "This protostar has a small, marginal, blue/red CO emission structure around it. Davis et al. identified an H2 bow shock dubbed DFS 126 which is 5.5 arcminutes to the NW of the source. The shape of the bow shock shows it may be produced by a jet from this protostar, HOPS 158 (IRS 126). Alternatively, this bow shock could be an extension of the prominent HH 38/43/64 flow to the SE."
159, 0, "[2,5.2]", "[10,13]", -, "The CO channel maps show a linear structure through this source (and HOPS 160) at ~3-5 km/s. This larger structure may be more of a filament than an outflow. There is also an arc-like NIR feature in the VISTA image going through this protostar." 
160, 1, "[2,4.7]", "[10,13]", -, "There is a good candidate outflow here in the form of a blue lobe, nicely collimated and positioned to the NW of HOPS 160. Probably new outflow!! The blue lobe is in a similar direction to the bright NIR nebulousity surrounding the protostar in VISTA image. Also in the VISTA image, there seems to be a cavity in exactly the same direction as this outflow candidate. It looks like a miniature version of the famous Hole in the Sky near V380 Ori! The bright nebulosity right around HOPS 160 is HH 89. Further to the NW, and extending in the other direction to the SE, there is series of faint shocks in the H2 images of Davis et al, dubbed DFS122! NICE! See Fig. 9, Fig. A.5 in Davis et al."
# 163, 0, 4.5, 11, -, "There is some redshifted structure to the NW, but looks like part of a larger-scale filament extending ~ 10' to the NW rather than an outflow. There is also a curved edge to the cloud in blueshifted emission to the south, but again this looks more like larger-scale cloud structure. Probably not an outflow."
164, 0, 4.3, 10, 38, "Small NIR structure, labeled by Davis et al. as flow SMZ 58, part of chain of H2 knots extending to the NE and SW. In CO, there is some blue emission to the E, which is IDed by Tanabe et al. as their Outflow 38, but this is not in the same direction as the H2 jet. There may be a bit of blue emission more in the direction of the jet, but this CO outflow is quite dubious."
165, 0, -, -, 43, "HOPS 165 is located just south of the HH 1/2 source HOPS 203. Davis id's an H2 jet from HOPS 165 as DFS 121. DFS 121 is the H2 counterpart to HH 36, a complex of knots/bow shock which points back to HOPS 165/IRS 121 but is located over 6 arcminutes to the NE. In CO, Tanabe IDs the tiny blueshifted structure to the NE as Outflow 43, because it is along a similar axis as the putative H2 outflow DFS 121/HH 36. However, this blueshifted CO seems to be part of a longer, peculiarly linear structure oriented N-S, therefore not outflowing from HOPS 165, which can be seen at 5.6 km/s. There is no redshifted counterpart. "
166, 1, 5.5, 11.5, 40, "SMZ 63 is an arc of HH objects and H2 shocks near this protostar to the SW.  Tanabe outflow 40, is oriented E-W, toward a small blueshifted CO emission lobe. However, by far the most prominent feature in this region is the caulilower or hot-air balloon shaped redshifted CO structure immediately to the North of this source. The orientation of the outflow here is unclear, with contradictory evidence form the redshifted CO gas on the one hand and the blueshifted CO + HH/H2 shocks on the other hand. The redshifted cauliflower emission may also be attributed to V380 Ori, a Herbig Ae pre-main sequence star which is Spitzer Orion 796."
167, 0, 5, 12, -, "This source is located within the redshifted emission comprising the HH 1/2 outflow complex. No obvious outflow associated with this source, though SMZ 65/HH 65 could potentially be driven by this source."
168, 1, -, -, 41, "Assigned by Tanabe to Outflow 41, the N-S blue/red emission. SMZ 61. See Figure 17 in Stanke et al. This H2 outflow is very very dubious, with a strange curve necessary to be driven by HOPS 168, I think it's more likely these H2 shocks come from the HH 1/2 complex."
169, 1, 4.7, 10, 39, "Wow! Spectacular bipolar outflow, with slight curve. Both red and blue CO emission extends all the way to the first and last channels in cube! This is IDed by Tanabe as Outflow 39. The CO outflow is matched perfectly with H2 outflow SMZ 59 seen in the VISTA NIR image. CO outflow is well-known (e.g. Levreault 1988, Morgan 1991, Davis 2000, Choi?). The H2 jets also have proper motions measured by Davis et al, with outflowing motions verified."
# 170, 0, -, -, -, "Nothing much here." 
# 171, 0, -, -, -, "HOPS 171 has a small NIR nebulosity extending to the SW. There's no CO corollary though." 
172, 0, 4.5, 11., -, "The redshiftd lobe most likely coming from L1641-N cuts through HOPS 172. Also, part of the H2 flow in this outflow point right at HOPS 172, but all sources seem to indicate that all these outflows are part of the giant pc-scale flow coming from L1641-N. Most likely no outflow here, but could be that the southern extension of the giant outflow is actually driven by this protostar."
173, 0, 4, 12, -,  "Located just 7 arcseconds south of the source HOPS 174, identified as the driving source of DFS 115 (Fig. A.3. in Davis et al.) and Tanabe Outflow 36. HOPS 174/IRS 115 is the most likely driving source of the H2 outflow, but the blue CO emission is almost orthogonal to the H2 outflow orientation. Thus, this blue CO outflow lobe may come from any of the three protostars tightly clustered in this region (HOPS 173/174/380)" 
174, ?, 4, 12, 36, "See HOPS 173 entry for more discussion about the H2/CO outflow here. The NIR image shows that the H2 shocks in the East most likely come from this protostar (DFS 115). But the blushifted CO emission is not oriented the same way, so it's unclear the relation between the H2 outflow, blueshifted CO lobe, and the three protostars in this region." 
# 175, -, 4.5, 12, -, "No evidence for CO outflow here."  
# 176, -, 4.5, 12, -, "Close association with HOPS 175, no evidence for CO outflow."
177, 1, 5.5, 10.3, 37, "CO: Red lobe extending North from this source., there is a compact H2 knot associated with thie protostar, called DFS 119 by Davis et al. In Tanabe et al., this protostar drives outflow 37, a newly identified outflow which doesn't show any obvious connection to the H2 feature DFS 119. The morphology of the redshifted CO makes this a likely outflow."  
178, 1, 4.3, 12, 34, "SMZ 51 is an ~ pc scale H2 flow traced by several bow shocks, knots, and optical HH objects, which can be seen in red in the NIR Vista image. Orientated roughly E-W, and clearly driven by HOPS 178/IRS 51.. The HH 301/302 objects were linked to this flow first by Galfalk and Oloffson 2007. In CO, the outflow is most clearly seen in the blue lobe, which is correlated well with the H2 flow to the E of HOPS 178. The red lobe is harder to define, as there are several outflows here from the L1641-N cluster. The L1641-N CO outflows are studied more closely in Stanke and Williams 2007. They suggest that this outflow, dubbed B-E/R-E in their Figure 2, is deflected by the giant N-S outflow and continues to the SW as the linear redshifted feature easily seen to the SW of the cluster. However, the R-SW outflow lobe is assigned to Outflow 31 by Tanabe, connecting B-NE to R-SW in the nomenclature of Stanke and Williams 07. I don't think we'll get a definitive assignment of the outflows here, so we should be careful choosing which to use for filament orientation analysis."
179, 1, 4.5, 11.9, 35, "Small blue lobe and (maybe) red lobe SE of L1641-N main cluster. Again, the CO emission is hard to disentangle from other outflows. Davis et al. identified a faint arcuate H2 feature S of this source, dubbing this H2 outflow DFS 118. This CO outflow is R-SE/B-SE from Stanke and Williams 2007." 
181, 1, 4, 12, 32, "Giant N-S outflow most likely powered by this source, as indicated by Tanabe and Stanke and Williams 2007 (B-N/R-S there). Red emission extends quite far to the south. There is a another large outflow overlapping this one, dubbed 31 by Tanbe, which is likely oriented NE-SW. The total extent of this outflow, traced by HH 303 and blue CO to the North, and SMZ 49 H2 flow plus red CO to the South, is several parsecs long. The driving source of the outflow is most likely the more embedded HOPS 180/IRS49, as indicated by Davis et al., but the nearby HOPS 181/ IRS 53, 10 arcseconds to the West, could drive the outflow, but is more likely to be driving Tanabe Outflow 31, oriented to the NE-SW. "
182, 1, 4, 11.7, 31, "NE-Probably SW outflow. The SW red lobe was suggested by Stanke and Williams 2007 to not be part of this large outflow, but actually a deflected continuation of the red lobe of the E-W outflow from HOPS 178 (Tanabe outflow 34). The H2 flow is dubbed SMZ 53. See Stanke and Williams for SMA view of the CO in this region." 
# 183, 0, 4, 12, -, "This source is yet another protostar in the L1641-N cluster. Not assigned any outflow by my references, but could easily be contributing some of the high-velocity CO seen in this region."
# 184, 0, 5, 11.5, -, "Some blueshifted emission extends through this source to the SW. Not especially collimated, more likely to be cloud structure than outflow."
# 185, 0, 4.8, 10.6, -, "SMZ 46 is a short N-S H2 flow likely originating from this protostar, which can be seen as NIR nebulosity in VISTA. The HH object 304 is in this area as well, but there is really not much high-velocity CO around, save for a dubious patch of red-shifted CO to the South. No evidence for a CO outflow."
# 186, 0, 5.8, 11.4, -, "No evidence for CO outflow, no H2 jet here either. The protostar is in a small bright NIR nebulosity."
# 187, 0, 5.8, 11.4, -, "No CO outflow, just a boring run of the mill flat-spectrum HOPS source."
# 188, 0, 6, 10, -, "Driving source of the HH 34 giant outflow system. HH 34 first detected as a large, bright bow shock by Herbig 1974. This optical flow includes HH objects 173, 86/87/88 to the SE (blue lobe) and HH 126, 85, 33/40 to the NW (red lobe), as identified by Bally and Devine 1994. However, HH 33/40 could be a separate flow (DFS 116) powered by a source which is not in HOPS or Spitzer Orion, IRS 116 by Davis et al. In IR, the H2 flow counterpart is SMZ 55, shown in Davis et al. Figure 7. In CO, I see very little evidence for an outflow. Chernin and Masson 1995 argue for the presence of a weak CO 2-1 outflow, mostly in the red lobe, with CSO observations. But if I use the same integration ranges, I don't see any significant CO emission."
# 189, 0, -, -, -, "Driving H2 outflow SMZ 56 (maybe). No evidence for a CO outflow here, see above entry on HOPS 188."
# 190, 0, -, -, -, "Same complex of protostars as HOPS 188/189, still no evidence for CO outflow."
191, 0, 7, 11, 29, "Protostar embedded in the head of a dust pillar in the VISTA image. SMZ 45 is a series of H2 knots extending S of the source, although Stanke et al. 2002 note that this is uncertain, they may be driven by the giant N-S L1641-N outflow to the south. Tanabe identifies the CO outflow 29 here. The 12CO spectrum shows a blue peak offset from the main peak at ~6 km/s. There may be a small blue CO lobe from 6-7.5 km/s in the S overlapping the H2 knots, or potentially a redshifted structure 3 arcminutes to the S but at velocities of ~11-13 km/s. No evidence however for any counterflow to the North. Tanabe's Outflow 29 includes both blue and redshiftend contours to the South of the source, this identification is dubious."
192, ?, 7.5, 10, -, "Several linear CO features in this area, which could be outflows driven by protostars HOPs 192 or 193. Zooming out, there is a linear redshifted feature at very large velocites (up to 17 km/s) located about 3 arcminutes to the SW but pointing back to these sources. At lower velocites down to ~ 10 km/s, this linear feature approaches the protostars, curving moderately. In the blue velocities, there is a linear feature about an arcminute to the W. Zooming in, this HOPS protostar has tiny blue/red contours oriented EW which perhaps make a tiny bipolar outflow, but I'm not sure how significant these contours are. This source also has a small NIR nebulosity in the VISTA image."
193, 0, 6.5, 10, -, "The large scale linear CO features are described in HOPS 192, the previous entry. There is no evidence for a small scale bipolar outflow here as in HOPS 192. This source is more embedded in the NIR image, with no nebulosity associated with it."
194, 0, 5.7, 10.7, 28, "This source, HOPS 194, is a flare star V* V1296 Ori. SMZ 43 is the H2 outflow identified here, Davis et al. notes its arc-like appearance and that it may be a PDR instead of an outflow. Tanabe identifies Outflow 28 with two compact blueshifted CO contours, but the geometry is not convincing. Maybe a pole-on outflow? "
198, ?, 5, 10, -, "SMZ 42, jet with bow shock at end, roughly 4 arcminutes NE-SW with HOPS 195 at its center. No clear CO outflow here. There is a distant (4 arcminute) very linear redshifted feature to the NE, pointing roughly back to HOPS 195. Also, there is a linear CO feature that shows up between 9 and 10 km/s, which is in the velocity range of the surrounding cloud. Perhaps this is an outflow lobe in the plane of the sky? This 9-10km/s feature is spatially correlated quite well with the extent of the H2 jet/bow shock!"
# 199, 0, -, -, -, "This source is located just off the edge of the CO map, and the elevated noise at the edge of the CO make any outflow determination impossible to be confident in."
# 200, 0, -, -, -, "4 arcminutes to the NE, there is a bow-shock seen in the H2 and NIR VISTA image. This is dubbed SMZ 40, and Davis et al. hypothesize that it is driven by this source, HOPS 200. The propermotion measurements in this bow-shock are very inconclusive on this point. This assocation is quite tentative. In CO, there's no evidence of an outflow here."
203, 1, 5.2, 11.7, 42, "This is the driving source of HH 1/2. SMZ 64 is the HH 1/2 outflow in H2. It's difficult to assing outflow contours here with all the overlapping emission. Also, note the vast redshfited lobe from HH 1/2 to the south, which is assigned by Tanabe to a different protostar in the south."
355, ?, 4.3, 10.5, -, "To the E and W is the beautiful parsec-long bipolar H2 flow identified by Davis et al. as DFS 123. Exquisite in VISTA image! This is likely the protostellar source of this H2 outflow, which is a new discovery! Because the source is very very red/embedded, it's basically undectable in the NIR image. Class 0 in HOPS. In CO, there is red and blue emission on either side of the source roughly on the same EW axis as the H2 flow, but its hard to make sense of the CO here in terms of a bipolar outflow. Could be this source is just too young?"
368, 1, 7, 14, 14, "In complex of outflows 13/14/15 from Tanabe. Zooming in, there is a pretty nice small N-S red/blue outflow driven by this source. I believe this one. The CARMA-NRO combined data reveals this one in much better detail than Tanabe's NRO-only observations. This CO outflow is cataloged in Takahashi et al. 2008 and Shimajiri et al. 2008 as well." 
369, 0, 7, 14, -, "This source in also in the outflow complex 13/14/15 in the OMC 2 region. Not assigned any outflows by Tanabe, but it could contribute to the linear redshifted lobe in the south, and perhaps some of the blueshifted emission to its north. Not a certain outflow but can't rule one out either." 
370, ?, 5, 17, 13, "So many red/blue contours in this location. The cluster of protostars could all be driving outflows, so it's hard to see how Tanabe made a confident identification of this protostar with this outflow. It looks like, perhaps the red/blue lobes to the NE of this source are driven by this source, whereas the blue/red contours to the SW may be a new bipolar outflow driven by Spitzer Orion 2293 (IRS 17/MMS 17)"
371, 0, 5.5, 11.5, -, "This protostar is in the vicinity of the giant blue outflow lobe of Tanabe 25/SMZ 38. But no CO outflow is apparent from this source."
378, 0, 5, 11, -, "This Class I protostar is located right in the middle of the HH 2 bow shock / H2 knots. But it appears unrelated to this outflow. There is a lot of redshifted CO here which could be entirely part of the HH 2 flow, or partly driven by a separate outflow coming from this source. No blueshifted CO is apparent."
# 379, ?, 4.8, 11.7, -, "Some blue CO in a large arcing structure to the NW. Doesn't look particularly like an outflow."
380, 0, 4, 12, -, "HOPS 380 is the 3rd protostar in the group with HOPS 173/174 which may be responsible for Tanabe outflow 36 and H2 flow DFS115. See the entries for HOPS 173/174 for more."
# 382, 0, -, -, -, "No evidence for CO outflow around this run of the mill Class I source."
383, 1, -, -, -, "This source has red/blue lobes on either side in CO, but the blue lobe to the SE is assigned by Tanabe to their Outflow 2 w/ the disk source Spitzer Orion 2450 as the driving source. The morphology of the CO definitely points to HOPS 383 as the more likely source of the blue lobe and perhaps some portion of the red emission to the NW, part of which is in Outflow 1. Stanke et al. 2002 do not assign a driving source to the H2 flow SMZ 2, which consists of 2 H2 knots and an arc of diffuse emission near to the disk source to the south. I believe it's more likely this H2 flow as well as the CO outflow are driven by HOPS 383."
394, 0, 8, 14, -, "HOPS 394 is a Class 0 protostar in a region with several outflows (Tanabe 9-12). This source could potentially drive the redshifted CO just to the North, but it seems more likely that is part of the bipolar outflow/H2 outflow driven by HOPS 70 (SMZ 15)."
409, 0, 8, 14.5, -, "Outflow 18 from Tanabe gives the redshifted emission on top of this source to the Spitzer Orion 2236 (classified as Protostar) just to the SW. But HOPS 409 could just as well be driving any of the redshifted emission in this area. Or, perhaps more likely, there is no outflow here and the redshifted emission is just an extension of the cloud."

#####################################################################################################################################

#Hunting for outflows around all H2 flows/jets catalogued in Davis et al. 2009 without HOPS sources. There are a total of 46 Davis H2 flows without corresponding HOPS sources. These either have no source identified in Davis, and thus the location is the position of the most prominent H2 feature (29 of these). Or they have a source identified but the source is not in the HOPS catalog (17 of these)

#Number of flow in Davis et al. 2009, is there a CO outflow here?, blue velocity cut, red velocity cut, outflow identified by Tanabe?, notes
#davis, outflow, blue_vel, red_vel, tanabe, notes
