#Hunting for outflows around all H2 flows/jets catalogued in Davis et al. 2009 without HOPS sources. There are a total of 46 Davis H2 flows without corresponding HOPS sources. These either have no source identified in Davis, and thus the location is the position of the most prominent H2 feature (29 of these). Or they have a source identified but the source is not in the HOPS catalog (17 of these)
#Number of flow in Davis et al. 2009, is there a CO outflow here?, blue velocity cut, red velocity cut, outflow identified by Tanabe?, notes
davis, outflow, blue_vel, red_vel, tanabe, notes
62, ?, 6.3, 10.5, -, "SMZ 62 is listed by Stanke et al. 2002 as most likely to be part of the HH 1/2 flow, but could be a seperate jet. HH3 is the optical nebulosity here. So this is either a bow shock associated with the HH 1/2 flow to the SE or a separate small flow, but it's unclear if there is a star here or just nebulosity. In CO, there is a small linear feature extending to the W at about 10.5 km/s. No evidence of blue counterflow."
65, 0, 4.8, 12.6, -, "SMZ 65 / MHO 124 / HH 144 is a series of knots and bow shocks aligned EW to the W of HH 1/2 VLA2 (the binary companion of the source of the HH 1/2 flow, HH 1/2 VLA1). No evidence for any EW oriented CO in this flow."
102, 0, -, -, -, "DFS 102 is the H2 counterpart to the bright bow shock HH 42. The morphology of both optical and H2 emission points to the putative source 2.4 arcminutes to the W. The H2 flow, DFS 102 is thus positioned by Davis et al. 2009 (Figure A.1.C) at this young star, the protostar Spitzer Orion 2393. In CO, no counterpart."
112, 0, 7, 12, -, "DFS 112 marks the location of the putative source (protostar Spitzer Orion 1246) of this flow, a bow shock with several knots to the SE, marked by MHO 175. No CO counterpart to this dubious outflow."
116, 0, 5.5, 10, -, "DFS 116 / MHO 177,178 / HH 33,40 is complex of H2 and optical shocks and knots. It looks like two lobes of a small bipolar flow, but many authors, starting with Bally and Devine 1994 and Devine 1997 argue that these structures are part of the northern bow shock of the counterflow from HH 34 to the south. Davis et al. 2009 argue instead that HH 33,40 are powered by a Spitzer source inside of the HH 40 nebulosity. This is where DFS 116 is located, as the putative source of this separate molecular flow. Is the HH 33/40/DFS116 flow the northern extreme of a giant HH 34 flow or a completely separate flow powered by an elusive young star located near HH 40? I don't find any CO counterpart to this flow."
120, 0, 4.5, 8, -, "DFS 120 / MHO 184 consists of two faint H2 knots. No CO outflow."
123, ?, 5, 9.5, -, "DFS 123 is a specactular H2 flow with NO optical HH counterpart. Classified as MHO 187-189. The flow seen in Davis et al. 2009 Figure A.5, extends over at least 8.5 arcminutes in H2. Davis et al. could not identify a candidate driving source. DFS 123 marks the location of the brightest H2, the knotty bow shock on the E end of the flow. The source of this flow could be HOPS 355, a highly embedded class 0 protostar located near the middle of the flow. This seems like the only candidate. See HOPS355 figure and catalog entry for more info about this potential new CO outflow. There is both red and blue CO on both sides of the putative source in a broad EW filamentary structure."
124, 1, 5, 9.5, 44, "DFS 124 is a bow shock of several knots, S of HH 1/2, with proper motions that suggest it might be an extension of the HH1 flow, Though the orientation doesn't seem quite right compared to HH 1 to the North. Instead, Davis et al. assign this H2 flow to the young star < 1 arcminute to the NW, Spitzer Orion 747 (flat protostar class). In CO: There is a giant redshifted lobe of CO, part of which is well traced by these H2 knots, but the scale of the CO dwarfs the supposed scale of a small outflow from the nearby young star. There is some blueshifted CO to the NE as well. All of this high velocity emission is assigned to the new outflow 44 by Tanabe, but the red/blue morphology is very strange. Zooming out, the red CO structure appears connected to the HH 1/2 or V380 Ori regions to the north. Perhaps this is the counterflow to the cauliflower structure around V380 Ori? Or another outflow from HH 1/2? What the heck is going on here?"


# Miscellaneous Notes
# ---------------------
# Need to also check all Davis flows that are not driven by a HOPS source. (either the source is unidentified in Davis or it is identified but not in the HOPS catalog.

# Spitzer Orion 747 drive H2 flow DFS 124, or this may be part of the large southern lobe of HH 1/2. THe large amount of blue/red CO in this area is assigned to the new Outflow 43 by Tanabe.

# Tanabe outflow 18 (not listed above but described in HOPS 409 entry) is assigned to Spitzer Orion protostar 2236 (without H2)
# Tanabe outflow 9 (not listed above) is driven not by a HOPS source, but a Spitzer Orion disk source with H2 jet from Davis.
# Tanabe outflow 2 (not listed above) is driven not by a HOPS source, but a Spitzer Orion disk source with H2 jet from Davis.

# Spitzer Orion 2368 - possible source of red lobe of Tanabe Outflow 7.
# Spitzer Orion 2293 - possible source of a small red/blue outflow separate from the nearby Outflow 13 of tanabe, this could also be related to HOPS108. NEW CO outflow here!

# V380 Ori (Spitzer Orion 796) may be source of red "cauliflower" emission attributed by Tanabe to Outflow 40/SMZ 63 - from HOPS 166 to the South.

# V563 Ori seems to be the driving source of the CO 'fan' sticking out the north side of the very northern edge of the cloud into NGC1977. You can see a U-shaped dark feature in the VISTA NIR image.


# hops93 and 94 seem to have small outflows (based on IR nebulosity) look for corresponding CO. 
# hop91 might have outflow extending SErede) to NW (blue)


# look at hops158
